Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
OSMOTIC_STRESS_T0_REP1_T1_1										13.619	0.291	0.0	0.0	0.0	0.0	0.0																																																															
OSMOTIC_STRESS_T0_REP1_T1_2										13.392000000000001	0.619	0.0	0.0	0.0	0.0	0.0																																																															
OSMOTIC_STRESS_T0_REP2_T1_1										18.884999999999998	1.348	0.0	0.0	0.0	0.0	0.0																																																															
OSMOTIC_STRESS_T0_REP2_T1_2										19.169	1.3339999999999999	0.22200000000000003	0.0	0.0	0.0	0.0																																																															
OSMOTIC_STRESS_T15_REP1_T1_1										12.269	0.534	0.10200000000000001	0.0	0.0	0.0	0.0																																																															
OSMOTIC_STRESS_T15_REP1_T1_2										12.617	0.757	0.0	0.0	0.0	0.0	0.0																																																															
OSMOTIC_STRESS_T15_REP2_T1_1										9.536	0.28200000000000003	0.0	0.0	0.0	0.0	0.0																																																															
OSMOTIC_STRESS_T15_REP2_T1_2										9.843	0.409	0.0	0.0	0.0	0.0	0.0																																																															
