Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65
OSMOTIC_STRESS_T0_REP1_T1_1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.003	0.003	0.003	0.006	0.028	0.062	0.1	0.264	0.504	0.561	0.592	0.629	0.724	0.895	1.199	1.561	2.069	2.996	4.62	6.017	6.846	7.625	8.522	9.423	10.31	11.099	11.866	12.716	13.896	15.161	16.115	16.885	17.651	18.498	19.342	20.13	20.839	21.63	22.415	23.273	24.077	24.757	25.461
OSMOTIC_STRESS_T0_REP1_T1_2 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.004	0.004	0.005	0.005	0.005	0.008	0.03	0.066	0.102	0.267	0.505	0.564	0.595	0.632	0.723	0.893	1.193	1.558	2.056	2.982	4.606	5.993	6.81	7.585	8.481	9.382	10.273	11.056	11.826	12.668	13.852	15.121	16.062	16.834	17.592	18.437	19.279	20.068	20.77	21.557	22.34	23.185	23.987	24.667	25.375
OSMOTIC_STRESS_T0_REP2_T1_1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.003	0.005	0.008	0.008	0.009	0.014	0.017	0.024	0.068	0.124	0.192	0.268	0.321	0.361	0.412	0.518	0.645	0.895	1.298	1.832	2.467	3.149	3.919	4.641	5.344	6.176	7.0	7.815	8.614	9.385	10.141	10.848	11.722	12.474	13.245	13.994	14.765	15.561	16.308	17.077	17.726	18.418	19.087	19.76	20.398	21.055	21.698
OSMOTIC_STRESS_T0_REP2_T1_2 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.006	0.01	0.013	0.015	0.018	0.022	0.025	0.036	0.081	0.139	0.209	0.283	0.335	0.377	0.428	0.533	0.663	0.91	1.312	1.847	2.476	3.153	3.914	4.623	5.321	6.143	6.963	7.769	8.557	9.32	10.072	10.782	11.658	12.395	13.165	13.916	14.686	15.471	16.217	16.976	17.621	18.318	18.99	19.654	20.283	20.931	21.564
OSMOTIC_STRESS_T15_REP1_T1_1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.005	0.021	0.042	0.062	0.082	0.095	0.112	0.133	0.178	0.256	0.432	0.706	1.024	1.34	1.625	1.973	2.338	2.766	3.205	3.608	4.056	4.534	5.025	5.512	6.008	6.441	6.908	7.385	7.893	8.387	8.903	9.43	9.956	10.538	11.057	11.556	12.037	12.503	13.001
OSMOTIC_STRESS_T15_REP1_T1_2 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.001	0.005	0.021	0.042	0.063	0.082	0.094	0.111	0.131	0.176	0.254	0.432	0.708	1.027	1.344	1.626	1.972	2.335	2.756	3.196	3.597	4.044	4.52	5.011	5.497	5.995	6.428	6.896	7.379	7.885	8.373	8.891	9.418	9.944	10.529	11.051	11.543	12.018	12.478	12.975
OSMOTIC_STRESS_T15_REP2_T1_1 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.023	0.066	0.12	0.178	0.228	0.262	0.293	0.343	0.42	0.589	0.948	1.399	1.972	2.604	3.283	3.929	4.661	5.437	6.318	7.193	8.088	8.984	9.84	10.689	11.546	12.308	13.062	13.816	14.579	15.39	16.154	16.992	17.719	18.465	19.145	19.831	20.494	21.159	21.824
OSMOTIC_STRESS_T15_REP2_T1_2 - nextera_transposase_sequence	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.023	0.064	0.116	0.176	0.224	0.256	0.288	0.338	0.415	0.577	0.934	1.372	1.936	2.563	3.241	3.875	4.598	5.364	6.236	7.103	7.992	8.882	9.731	10.575	11.431	12.189	12.933	13.676	14.427	15.23	15.991	16.821	17.537	18.264	18.939	19.613	20.277	20.931	21.586
