Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
OSMOTIC_STRESS_T0_REP1_T1_1	3.4	100000	52633	100000	7600000	22070	6811476	10.375315789473683
OSMOTIC_STRESS_T0_REP1_T1_2	3.4	100000	52660	100000	7600000	40823	6797740	10.556052631578948
OSMOTIC_STRESS_T0_REP2_T1_1	3.4	100000	49391	100000	7600000	34664	6909691	9.083013157894737
OSMOTIC_STRESS_T0_REP2_T1_2	3.4	100000	49448	100000	7600000	57789	6889729	9.34567105263158
OSMOTIC_STRESS_T15_REP1_T1_1	3.4	100000	42617	100000	7600000	18408	7185337	5.456092105263158
OSMOTIC_STRESS_T15_REP1_T1_2	3.4	100000	42703	100000	7600000	34201	7171134	5.642973684210526
OSMOTIC_STRESS_T15_REP2_T1_1	3.4	100000	49734	100000	7600000	19349	6930553	8.808513157894737
OSMOTIC_STRESS_T15_REP2_T1_2	3.4	100000	49019	100000	7600000	43321	6913468	9.033315789473683
